Match_Status;Product_ID;Product_Code;Product_Name;Modality;Classification;Product_Type;Therapeutic_Area;Current_Phase;Project_Status;Lead_Indication;Expected_Launch_Year;Timeline_Variance_Days;Launch_Geography;Commercial;Development_Approach;Development_Site;Launch_Site;Pharma_Form;Technology;Storage_Conditions;DS_Volume_Category;DP_Volume_Category;Route_Of_Administration;DS_Suppliers;DP_Suppliers;Device_Partners;Contact_Person;Strategic_Class;Strategic_Technology;Demand_Category;Peak_Demand_Range;Operational_Risks;Timeline_Risks;Supply_Chain_Risks;Mechanism_Of_Action;Short_Description;Patient_Population;Regulatory_Details;Submission_Status
MATCH_LE;BI 3000202;BI 3000202_DF4;Not disclosed;Small Molecule;Solid;;Immunology / Autoinflammatory Diseases;;;Type I Interferonopathy dF4;2032;;;Make (strat);CDMO;Almac;BI Ingelheim;FC_Tablet;Fluid Bed Granulation;(Blank);;;Oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;cGAS inhibitor - inhibits cyclic GMP-AMP synthase, reducing type I interferon signaling.;Line extension of cGAS inhibitor for type I interferonopathy dF4 indication.;Patients with type I interferonopathy dF4;;
MATCH_LE;BI 3000202;BI 3000202_SSC;Not disclosed;Small Molecule;Solid;;Immunology;;;Systemic Sclerosis;2035;;;Make (strat);CDMO;Almac;BI Ingelheim;FC_Tablet;Fluid Bed Granulation;(Blank);;;Oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;cGAS inhibitor - inhibits cyclic GMP-AMP synthase, reducing type I interferon signaling and fibrosis.;Line extension of cGAS inhibitor for Systemic Sclerosis.;Patients with Systemic Sclerosis;;
MATCH;BI 3000202;BI 3000202;;Small Molecule;Solid;NME;Immunology;Phase I;On Track;Systemic Sclerosis (SSc) / IFN (Interferonopathies);2032;0;;Buy (strat);CDMO;Almac;Almac Charnwood;Oral Granules-PED;Fluid Bed Granulation;tbd;;;Oral;C(D)MO (ongoing);C(D)MO (ongoing);;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;cGAS inhibitor.;"Oraler cGAS-Inhibitor für SSc und monogene Interferonopathien; potenziell krankheitsmodifizierend.";;;
MATCH_LE;BI 3000202;BI 3000202_DF4;Not disclosed;Small Molecule;Solid;;Immunology / Autoinflammatory Diseases;;;Type I Interferonopathy dF4;2032;;;Buy (strat);CDMO;Almac;Almac Charnwood;Oral Granules-PED;Fluid Bed Granulation;tbd;;;Oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;cGAS inhibitor - inhibits cyclic GMP-AMP synthase, reducing type I interferon signaling.;Line extension of cGAS inhibitor for type I interferonopathy dF4 indication.;Patients with type I interferonopathy dF4;;
MATCH_LE;BI 3000202;BI 3000202_SSC;Not disclosed;Small Molecule;Solid;;Immunology;;;Systemic Sclerosis;2035;;;Buy (strat);CDMO;Almac;Almac Charnwood;Oral Granules-PED;Fluid Bed Granulation;tbd;;;Oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;cGAS inhibitor - inhibits cyclic GMP-AMP synthase, reducing type I interferon signaling and fibrosis.;Line extension of cGAS inhibitor for Systemic Sclerosis.;Patients with Systemic Sclerosis;;
MATCH;BI 3009947;BI 3009947;;Small Molecule;Solid;NME;Immunology;Pre-Clinical;Discontinued;"Systemic Sclerosis (SSc); IFN (Interferonopathies)";;0;;;tbd;(Blank);tbd;FC_Tablet;tbd;(Blank);;;Oral;;;;Schatter,Dr.,Beate (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);;;;STING inhibitor.;STING inhibitor for systemic sclerosis and interferonopathies;;;
MATCH;BI 3009947;BI 3009947;;Small Molecule;Solid;NME;Immunology;Pre-Clinical;Discontinued;"Systemic Sclerosis (SSc); IFN (Interferonopathies)";;0;;;tbd;(Blank);tbd;Oral Granules-PED;tbd;(Blank);;;Oral;;;;Schatter,Dr.,Beate (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);;;;STING inhibitor.;STING inhibitor for systemic sclerosis and interferonopathies;;;
MATCH;BI 3031185;BI 3031185;;Small Molecule;Solid;NME;Mental Health;Pre-Clinical;On Track;Impulsivity;2034;0;;tbd;;(Blank);tbd;FC_Tablet;tbd;tbd;;;Oral;;;;Lehnen,Dr.,Dominika (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;mGluR4 NAM (Negative Allosteric Modulator).;An mGluR4 Negative Allosteric Modulator for Impulsivity.;;;
MATCH;BI 3032950;BI 3032950;;Monoclonal Antibody;Liquid;NBE;Immunology;Phase II;On Track;Crohn's Disease (CD);2034;0;;;CDMO;Lonza (Basel);tbd;Sf_Injection;Sterile Filling;2 to 8°C;;;IV (Induktion), SC (Erhaltung);;;;Goeggel,Dr.,Svenja (HP BioP L&I) BIP-DE-B;NBE;Device for s.c. injection;(Blank);(Blank);;;;TREM-1 antagonist.;"TREM-1 antibody for Ulcerative Colitis (induction i.v., maintenance s.c.); IBD program, CD in evaluation.";;;
MATCH;BI 3034701;BI 3034701;Not disclosed;Peptides;Liquid;NME;Cardiovascular-Renal-Metabolic (CRM);Phase I;On Track;Obesity (Overweight/Obesity BMI ≥27 kg/m²);2032;;;Make;INTERNAL;BI Biberach;tbd;Sf_Injection;Sterile Filling;2 to 8°C;;;Subcutaneous (presumed, typical for long-acting peptides);;;;Lindemann,Dr.,Eva (HP BioP L&I) BIP-DE-I;NCE_liquid;Device for s.c. injection;(Blank);(Blank);;;;Triple agonist targeting GLP-1R, GIPR, and NPY2R - simultaneous activation of three receptors involved in appetite regulation and energy homeostasis for weight management. Long-acting peptide therapeutic.;Long-acting triple agonist peptide (GLP-1R/GIPR/NPY2R) for obesity. Phase I study evaluating safety, tolerability, and pharmacokinetics in people with overweight/obesity.;Adults with overweight or obesity (BMI ≥27 kg/m²);Obesity: 1 designation;
MATCH;Bl 3720931;BI 3720931;;Gene Therapy;Liquid;NBE;Cystic Fibrosis (Respiratory);Phase I/II (Lenticlair-01 FIH started Nov 2024);Active;Cystic Fibrosis (CF);2032;0;;;CDMO;"Oxford Biomedica; Novalabs";tbd;Sf_Inhalation;Sterile Filling;-70°C;;;Inhalation (nebulized);;;;Goeggel,Dr.,Svenja (HP BioP L&I) BIP-DE-B;NBE_NTM;Inhaler;(Blank);(Blank);;;;Third-generation, self-inactivating lentiviral vector therapy for inhaled CFTR gene delivery.;Inhaled lentiviral gene therapy for cystic fibrosis.;;;
MATCH;BI 3776528;BI 3776528;;Small Molecule;Solid;NME;Mental Health – Cognitive impairment in PSD/Schizophrenia;Phase I (laufend);On Track;Cognitive Impairment Post-Stroke Depression (CI PSD);;0;;;tbd;(Blank);tbd;FC_Tablet;tbd;tbd;;;Oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;SSTR4 agonist.;Oraler SSTR4-Agonist zur Behandlung kognitiver Beeinträchtigung in PSD/SCZ-Spektrum.;;;
NO_MATCH_export;BI 3782253;;;UNKNOWN;Solid;;;;;;;;;tbd;tbd;(Blank);tbd;tbd;tbd;tbd;;;;;;;Barino,Frank (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);;;;;;;;
MATCH;BI 3794407;BI 3794407;;Small Molecule;Solid;NME;Inflammation & Respiratory (I&R);Pre-Clinical;Discontinued;Systemic Sclerosis (SSc);;0;;;tbd;(Blank);tbd;FC_Tablet;tbd;tbd;;;oral;;;;Friccius,Klaus (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);;;;cGAS inhibitor.;Oraler cGAS-Inhibitor für SSc und Typ-I-Interferonopathien (FU zum FR).;;;
NO_MATCH_export;BI 3797363;;;UNKNOWN;Solid;;;;;;;;;tbd;tbd;(Blank);tbd;tbd;tbd;tbd;;;;;;;Hartig-Heimel,Dr.,Mareke (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);;;;;;;;
MATCH;BI 3798489;BI 3798489;BI 3798489;Peptides;Liquid;NME;Cardiovascular-Renal-Metabolic (CRM);Preclinical;;Obesity;2035;0;;;;(Blank);tbd;Sf_Injection;Sterile Filling;(Blank);;;SC injection;;;;;NCE_liquid;Technology unknown;(Blank);(Blank);HIGH: 1;;;NMUR2 agonist for obesity, targeting satiety circuits to reduce food intake and body weight.;NMUR2 agonist peptide for obesity.;"Patients with obesity; monthly dosing anticipated";;
MATCH;BI 3802876;BI 3802876;;Recombinant Proteins;Liquid;NBE;Cardiovascular-Renal-Metabolic (CRM);Phase I (laufend);On Track;MASH;;0;;;INTERNAL;BI Biberach;tbd;Sf_Injection;Sterile Filling;2 to 8°C;;;IV;;;;Luenser-Diez,Dr.,Katja (HP BioP L&I) BIP-DE-B;NBE;Technology unknown;(Blank);(Blank);;;;FAP-verankerter TRAILR2-Agonist (HSC-Ziel).;A FAP-TRAILR2 agonist for MASH.;;;
MATCH;BI 3804379;BI 3804379;;Recombinant Proteins;Liquid;NBE;Cardiovascular-Renal-Metabolic (CRM);Phase I (laufend);On Track;MASH;;0;;;INTERNAL;Biberach;tbd;Sf_Injection;Sterile Filling;2 to 8°C;;;SC und IV;;;;Goeggel,Dr.,Svenja (HP BioP L&I) BIP-DE-B;NBE;Technology unknown;(Blank);(Blank);;;;Anti-IL11;An injectable recombinant protein for MASH.;;;
MATCH;BI 3810477;BI 3810477;;Monoclonal Antibody;Liquid;NBE;Inflammation & Respiratory;Phase I;Active;IPF/PPF;2034;0;;;tbd;(Blank);tbd;Sf_Injection;tbd;2 to 8°C;;;i.v. und s.c.;;;;Becker,Dr.,Eric (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);(Blank);(Blank);;;;Binds a unique CTGF epitope, preventing cell surface binding and MMP7-mediated CTGF cleavage.;Humanized IgG1 mAb against CTGF for IPF/PPF.;;;
MATCH;BI 3810944;BI 3810944;;Recombinant Proteins;Liquid;NBE;Oncology;Phase I;On Track;Melanoma;2032;0;;;;(Blank);tbd;Sf_Injection;Sterile Filling;(Blank);;;;;;;Luenser-Diez,Dr.,Katja (HP BioP L&I) BIP-DE-B;NBE;Vial (Standard);(Blank);(Blank);;;;Kollagenbindende, MMP9-aktivierte IL-12-Prodrug (ODC).;"Systemische ODC-IL12-Prodrug; sentinel indication Melanoma.";;;
MATCH;BI 3812465;BI 3812465;;Recombinant Proteins;Liquid;NBE;Ophthalmology (CI-DME);Phase I;;CI-DME;2032;0;;tbd;;(Blank);tbd;Sf_Injection;Sterile Filling;tbd;;;Intravitreal;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;IVT;(Blank);(Blank);HIGH: 1;;;Bispecific FZD4/LRP5-Modulator (Wnt-/Norrin-Mimetikum) to mimic Norrin and activate Wnt/β-catenin signaling, restoring BRB integrity.;Bispecific Wnt-pathway FZD4/LRP5-Modulator for CI-DME to restore BRB integrity.;Patients with chronic diabetic macular edema (CI-DME);;
MATCH;BI 3814916;BI 3814916;Not yet assigned;Monoclonal Antibody;Liquid;NBE;Hepatologie (ACLF);Phase I;;MASH;2034;0;;Make;INTERNAL;BI Biberach;tbd;Sf_Injection;Sterile Filling;tbd;;;parenteral (i.v. oder s.c.);;;;Malcher,Desiree (HP BioP L&I) BIP-DE-B;NBE;Device for s.c. injection;(Blank);(Blank);HIGH: 3;;;Anti-TLR4 monoclonal antibody.;Anti-TLR4 monoclonal antibody for Acute-on-Chronic Liver Failure (ACLF).;;;
MATCH;BI 3819026;BI 3819026;Anti-LAYN antibody;Monoclonal Antibody;Liquid;NBE;Oncology;Phase I (FIH);;Solid Tumors;2035;0;;tbd;tbd;(Blank);tbd;Sf_Infusion;tbd;tbd;;;intravenöse Infusion;;;;Trischler,Dr.,Martin (HP BioP L&I) BIP-DE-B;NBE;Technology unknown;(Blank);(Blank);MED: 1;;;Humanized IgG1 anti-LAYN antibody targeting LAYN isoforms 1 and 2 to deplete tumor-resident Tregs and enhance anti-tumor immunity, with demonstrated CD16a binding. Afucosylation is not definitively documented.;IgG1 antibody targeting LAYN to deplete tumor Tregs in solid tumors, with demonstrated CD16a binding for enhanced ADCC.;Solid tumors with high Treg infiltration.;;
MATCH;BI 3820768;BI 3820768;;T-cell Engager;Liquid;NBE;Oncology (Solid Tumors);Preclinical;;3L Endometrial Cancer (ALPG+);2031;0;US;tbd;tbd;(Blank);tbd;Sf_Injection;tbd;tbd;Low volume;Low volume;Intravenous (to be confirmed);;;;Kuegler,Dr.,Markus (HP BioP L&I) BIP-DE-B;NBE;Technology unknown;(Blank);(Blank);HIGH: 1;;;Bispecific antibody in 2+1 format engaging ALPG on tumor cells and CD3 on T‑cells to induce targeted cytotoxicity and immune activation.;Bispecific TcE targeting ALPG and CD3 for solid tumors;Adults with ALPG+ tumors (initial focus on endometrial cancer);;"No active submissions; FiH preparation ongoing"
NO_MATCH_export;BI 3828540;;;UNKNOWN;Liquid;;;;;;;;;tbd;;(Blank);tbd;Sf_Injection;Sterile Filling;(Blank);;;;;;;Lindemann,Dr.,Eva (HP BioP L&I) BIP-DE-I;NBE;Technology unknown;(Blank);(Blank);;;;;;;;
MATCH;"BI 3907074; BI 3907075; BI 3720590";BI 3907074 / BI 3907075 / BI 3720590;;Gene Therapy;Liquid;NBE;Oncology;Pre-Clinical;On Track;Pancreatic Ductal Adenocarcinoma (PDAC);2034;0;;;;(Blank);tbd;Sf_Injection;Sterile Filling;;;;;;;;Kuegler,Dr.,Markus (HP BioP L&I) BIP-DE-B;NBE_NTM;Vial (New Modalities);(Blank);(Blank);;;;Kombination aus KISIMA-Impfkonstrukten (ATP150/152) und VSV-GP onkolytischem Vektor (154).;A complex gene therapy combining multiple proteins (KISIMA) and an oncolytic virus for Pancreatic Ductal Adenocarcinoma (PDAC).;;;
NO_MATCH_export;"BI 3907074; BI 3907075; BI 3720590";;;UNKNOWN;Liquid;;;;;;;;;;;(Blank);tbd;Sf_Injection;Sterile Filling;;;;;;;;Kuegler,Dr.,Markus (HP BioP L&I) BIP-DE-B;NBE_NTM;Vial (New Modalities);(Blank);(Blank);;;;;;;;
NO_MATCH_export;"BI 3907074; BI 3907075; BI 3720590";;;UNKNOWN;Liquid;;;;;;;;;;;(Blank);tbd;Sf_Injection;Sterile Filling;;;;;;;;Kuegler,Dr.,Markus (HP BioP L&I) BIP-DE-B;NBE_NTM;Vial (New Modalities);(Blank);(Blank);;;;;;;;
MATCH;BI 3923948;BI 3923948;Not disclosed;Gene Therapy;Liquid;NME;Oncology;Pre-Clinical (IMPD submitted September 2025);On Track;Triple-Negative Breast Cancer (TNBC);2034;;;Buy;CDMO;(Blank);tbd;Sf_Injection;Sterile Filling;(Blank);;;To be determined (likely intratumoral or intravenous);;;;Kuegler,Dr.,Markus (HP BioP L&I) BIP-DE-B;NBE_NTM;Vial (New Modalities);(Blank);(Blank);MED: 2;;;VSV-GP oncolytic virus with GSDME-IL12 payload - combines productive tumor cell infection and oncolysis (VSV-GP platform) with GSDME-mediated immunogenic cell death and IL-12-driven CD8+ T-cell activation to 'heat up' the tumor microenvironment.;Oncolytic virus platform for triple-negative breast cancer. VSV-GP vector carrying GSDME and IL-12 transgenes for combined oncolysis and immune activation.;Patients with triple-negative breast cancer;;
NO_MATCH_export;BI 3935509;;;Peptides;Liquid;;;;;;;;;tbd;tbd;(Blank);tbd;Sf_Injection;tbd;tbd;;;;;;;Lindemann,Dr.,Eva (HP BioP L&I) BIP-DE-I;NCE_liquid;tbd;(Blank);(Blank);;;;;;;;
MATCH;BI 3940749;BI 3940749;Not disclosed;Small Molecule;Solid;NME;Oncology;Pre-Clinical (FIH Q2/2026);On Track;Solid tumors with KRAS drivers (CRC, NSCLC, PDAC);2031;;;tbd;INTERNAL;EACD;tbd;tbd;tbd;tbd;;;Oral;ING (development);;;Thomas,Dr.,Johannes (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);HIGH: 1;;;KRAS multi-degrader (PROTAC) - uses CRBN-mediated ubiquitination to induce proteasomal degradation of KRAS proteins. Pan-KRAS approach targeting multiple KRAS mutations through targeted protein degradation via E3 ligase CRBN.;Pan-KRAS PROTAC degrader for solid tumors with KRAS drivers (PDAC, NSCLC, CRC). Oral small molecule using CRBN E3 ligase for protein degradation.;Patients with KRAS-driven solid tumors including pancreatic cancer, non-small cell lung cancer, and colorectal cancer;;
NO_MATCH_export;BI 3955569;;;Small Molecule;Solid;;;;;;;;;tbd;tbd;(Blank);tbd;FC_Tablet;tbd;(Blank);;;;;;;Raabe,Dr.,Angela (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;(Blank);(Blank);;;;;;;;
MATCH;BI 3968621;BI 3968621;Not disclosed;Small Molecule;Solid;NME;Oncology;Preclinical;;RCC;2035;0;;tbd;tbd;(Blank);tbd;FC_Tablet;tbd;tbd;;;Oral;;;;Thomas,Steffi (HP BioP L&I) BIP-DE-I;Solid;Technology unknown;(Blank);(Blank);HIGH: 2;;;"PROTAC targeting HPK1 for proteasomal degradation via CRBN E3 ligase recruitment; enhances T/B/DC activation to boost anti-tumor immunity.";"Oral PROTAC degrading HPK1 to boost immune activation for RCC; preclinical development.";;;
NO_MATCH_export;BI 39720080 (CT-155);;;Prescription Digital Therapeutic (SaMD/PDT);Digital;;;;;;;;;;;(Blank);;;;(Blank);;;;;;;;Digital;Digital;;;;;;;;;;
NO_MATCH_export;BI 3986283;;;Peptides;Liquid;;;;;;;;;tbd;tbd;(Blank);tbd;Sf_IVT_Injection;Sterile Filling;tbd;;;;;;;;NCE_liquid;IVT;(Blank);(Blank);;;;;;;;
NO_MATCH_export;BI 4009032;;;ADC;Liquid;;;;;;;;;tbd;tbd;(Blank);tbd;Sf_IVT_Injection;Sterile Filling;tbd;;;;;;;;NBE_NTM;ADC;(Blank);(Blank);;;;;;;;
NO_MATCH_export;BI 4015092;;;Small Molecule;Solid;;;;;;;;;tbd;tbd;(Blank);tbd;FC_Tablet;tbd;(Blank);;;;;;;;Solid;Film-coated tablet;(Blank);(Blank);;;;;;;;
MATCH;BI 764198;BI 764198;Not disclosed;Small Molecule;Solid;NME;Nephrology / Renal;Phase II;On Track;Focal Segmental Glomerulosclerosis (FSGS);2031;;;Make;CDMO;Almac;BI Ingelheim;FC_Tablet;Roller Compaction;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;Medium;10-100 mio PCS;;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;TRPC6 inhibitor for renal diseases, primarily targeting FSGS (Focal Segmental Glomerulosclerosis).;Patients with FSGS and other proteinuric kidney diseases;;
MATCH_LE;BI 764198;BI 764198_DMD;Not disclosed;Small Molecule;Solid;;Neuromuscular Disorders;;;Duchenne Muscular Dystrophy;2032;;;Make;CDMO;Almac;BI Ingelheim;FC_Tablet;Roller Compaction;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;Medium;10-100 mio PCS;;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Line extension of TRPC6 inhibitor for Duchenne Muscular Dystrophy.;Patients with Duchenne Muscular Dystrophy;;
MATCH_LE;BI 764198;BI 764198_PODO;Not disclosed;Small Molecule;Solid;;Nephrology / Renal;;;Podocytopathies;2034;;;Make;CDMO;Almac;BI Ingelheim;FC_Tablet;Roller Compaction;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;Medium;10-100 mio PCS;;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Line extension of TRPC6 inhibitor for podocyte-related kidney diseases.;Patients with podocytopathies;;
MATCH_LE;BI 764198;BI 764198_PED;Not disclosed;Small Molecule;Solid;;Nephrology / Renal;Pre-Clinical;;FSGS Pediatric;2035;;;Make;CDMO;Almac;BI Ingelheim;FC_Tablet;Roller Compaction;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Film-coated tablet;Medium;10-100 mio PCS;;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Pediatric line extension of TRPC6 inhibitor for FSGS in pediatric populations.;Pediatric patients with FSGS;;
MATCH;BI 764198;BI 764198;Not disclosed;Small Molecule;Solid;NME;Nephrology / Renal;Phase II;On Track;Focal Segmental Glomerulosclerosis (FSGS);2031;;;Buy;CDMO;Almac;tbd;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;TRPC6 inhibitor for renal diseases, primarily targeting FSGS (Focal Segmental Glomerulosclerosis).;Patients with FSGS and other proteinuric kidney diseases;;
MATCH_LE;BI 764198;BI 764198_DMD;Not disclosed;Small Molecule;Solid;;Neuromuscular Disorders;;;Duchenne Muscular Dystrophy;2032;;;Buy;CDMO;Almac;tbd;Oral Granules-PED;tbd;Room Temp.;;;Oral;;;;Ruppert,Tanja (HP BioP L&I) BIP-DE-I;Solid;Oral Granules;(Blank);(Blank);;;;TRPC6 inhibitor - inhibits the Transient Receptor Potential Cation Channel Subfamily C Member 6.;Line extension of TRPC6 inhibitor for Duchenne Muscular Dystrophy.;Patients with Duchenne Muscular Dystrophy;;
